
============================================================
[AUTO-GA] Starting: exp_same_equal_v2
Command: C:\Users\perve\AppData\Local\Programs\Python\Python313\python.exe C:\Users\perve\Desktop\Algoritmet-e-inspiruara-nga-natyra\AA_25-26-main\AA_25-26-main\ga_experiment.py --runs 10 --total-time 5100.0 --time-buffer 0 --population-size 50 --mutation-rate 0.30 --stagnation-limit 20 --min-runtime-before-stop 0 --max-instance-time 300.0 --clean-output --experiment-name exp_same_equal_v2 --profile single --time-profile equal
============================================================
Run 1 | australia_iptv.json | time=300.0s | left=5100.0s
Run 1 | canada_pw.json | time=300.0s | left=5078.8s
Run 1 | china_pw.json | time=300.0s | left=5065.9s
Run 1 | croatia_tv_input.json | time=300.0s | left=5048.7s
Run 1 | france_iptv.json | time=300.0s | left=5046.7s
Run 1 | germany_tv_input.json | time=300.0s | left=4993.6s
Run 1 | kosovo_tv_input.json | time=300.0s | left=4992.1s
Run 1 | netherlands_tv_input.json | time=300.0s | left=4990.3s
Run 1 | singapore_pw.json | time=300.0s | left=4988.5s
Run 1 | spain_iptv.json | time=300.0s | left=4983.9s
Run 1 | toy.json | time=300.0s | left=4971.9s
Run 1 | uk_iptv.json | time=300.0s | left=4971.6s
Run 1 | uk_tv_input.json | time=300.0s | left=4951.3s
Run 1 | usa_tv_input.json | time=300.0s | left=4948.9s
Run 1 | us_iptv.json | time=300.0s | left=4938.3s
Run 1 | youtube_gold.json | time=300.0s | left=4873.2s
Run 1 | youtube_premium.json | time=300.0s | left=4572.8s
Run 2 | australia_iptv.json | time=300.0s | left=5100.0s
Run 2 | canada_pw.json | time=300.0s | left=5081.0s
Run 2 | china_pw.json | time=300.0s | left=5068.2s
Run 2 | croatia_tv_input.json | time=300.0s | left=5057.3s
Run 2 | france_iptv.json | time=300.0s | left=5056.1s
Run 2 | germany_tv_input.json | time=300.0s | left=5029.4s
Run 2 | kosovo_tv_input.json | time=300.0s | left=5028.5s
Run 2 | netherlands_tv_input.json | time=300.0s | left=5027.3s
Run 2 | singapore_pw.json | time=300.0s | left=5026.0s
Run 2 | spain_iptv.json | time=300.0s | left=5021.9s
Run 2 | toy.json | time=300.0s | left=5011.6s
Run 2 | uk_iptv.json | time=300.0s | left=5011.4s
Run 2 | uk_tv_input.json | time=300.0s | left=4992.2s
Run 2 | usa_tv_input.json | time=300.0s | left=4990.3s
Run 2 | us_iptv.json | time=300.0s | left=4983.5s
Run 2 | youtube_gold.json | time=300.0s | left=4947.5s
Run 2 | youtube_premium.json | time=300.0s | left=4646.8s
Run 3 | australia_iptv.json | time=300.0s | left=5100.0s
Run 3 | canada_pw.json | time=300.0s | left=5042.6s
Run 3 | china_pw.json | time=300.0s | left=5020.6s
Run 3 | croatia_tv_input.json | time=300.0s | left=4996.6s
Run 3 | france_iptv.json | time=300.0s | left=4994.8s
Run 3 | germany_tv_input.json | time=300.0s | left=4948.2s
Run 3 | kosovo_tv_input.json | time=300.0s | left=4946.9s
Run 3 | netherlands_tv_input.json | time=300.0s | left=4945.3s
Run 3 | singapore_pw.json | time=300.0s | left=4943.4s
Run 3 | spain_iptv.json | time=300.0s | left=4935.8s
Run 3 | toy.json | time=300.0s | left=4922.5s
Run 3 | uk_iptv.json | time=300.0s | left=4922.1s
Run 3 | uk_tv_input.json | time=300.0s | left=4900.9s
Run 3 | usa_tv_input.json | time=300.0s | left=4898.2s
Run 3 | us_iptv.json | time=300.0s | left=4881.9s
Run 3 | youtube_gold.json | time=300.0s | left=4776.1s
Run 3 | youtube_premium.json | time=300.0s | left=4475.5s
Run 4 | australia_iptv.json | time=300.0s | left=5100.0s
Run 4 | canada_pw.json | time=300.0s | left=5040.5s
Run 4 | china_pw.json | time=300.0s | left=5002.6s
Run 4 | croatia_tv_input.json | time=300.0s | left=4969.9s
Run 4 | france_iptv.json | time=300.0s | left=4966.8s
Run 4 | germany_tv_input.json | time=300.0s | left=4885.6s
Run 4 | kosovo_tv_input.json | time=300.0s | left=4883.2s
Run 4 | netherlands_tv_input.json | time=300.0s | left=4880.5s
Run 4 | singapore_pw.json | time=300.0s | left=4877.0s
Run 4 | spain_iptv.json | time=300.0s | left=4866.5s
Run 4 | toy.json | time=300.0s | left=4840.2s
Run 4 | uk_iptv.json | time=300.0s | left=4839.6s
Run 4 | uk_tv_input.json | time=300.0s | left=4809.8s
Run 4 | usa_tv_input.json | time=300.0s | left=4806.2s
Run 4 | us_iptv.json | time=300.0s | left=4788.2s
Run 4 | youtube_gold.json | time=300.0s | left=4703.5s
Run 4 | youtube_premium.json | time=300.0s | left=4402.9s
Run 5 | australia_iptv.json | time=300.0s | left=5100.0s
Run 5 | canada_pw.json | time=300.0s | left=5057.3s
Run 5 | china_pw.json | time=300.0s | left=5027.4s
Run 5 | croatia_tv_input.json | time=300.0s | left=5000.0s
Run 5 | france_iptv.json | time=300.0s | left=4997.3s
Run 5 | germany_tv_input.json | time=300.0s | left=4916.1s
Run 5 | kosovo_tv_input.json | time=300.0s | left=4913.2s
Run 5 | netherlands_tv_input.json | time=300.0s | left=4909.6s
Run 5 | singapore_pw.json | time=300.0s | left=4906.0s
Run 5 | spain_iptv.json | time=300.0s | left=4897.6s
Run 5 | toy.json | time=300.0s | left=4876.1s
Run 5 | uk_iptv.json | time=300.0s | left=4875.5s
Run 5 | uk_tv_input.json | time=300.0s | left=4849.1s
Run 5 | usa_tv_input.json | time=300.0s | left=4845.2s
Run 5 | us_iptv.json | time=300.0s | left=4828.4s
Run 5 | youtube_gold.json | time=300.0s | left=4735.6s
Run 5 | youtube_premium.json | time=300.0s | left=4435.0s
Run 6 | australia_iptv.json | time=300.0s | left=5100.0s
Run 6 | canada_pw.json | time=300.0s | left=5050.4s
Run 6 | china_pw.json | time=300.0s | left=5011.0s
Run 6 | croatia_tv_input.json | time=300.0s | left=4977.9s
Run 6 | france_iptv.json | time=300.0s | left=4975.0s
Run 6 | germany_tv_input.json | time=300.0s | left=4881.3s
Run 6 | kosovo_tv_input.json | time=300.0s | left=4878.7s
Run 6 | netherlands_tv_input.json | time=300.0s | left=4875.5s
Run 6 | singapore_pw.json | time=300.0s | left=4872.2s
Run 6 | spain_iptv.json | time=300.0s | left=4854.2s
Run 6 | toy.json | time=300.0s | left=4824.8s
Run 6 | uk_iptv.json | time=300.0s | left=4824.3s
Run 6 | uk_tv_input.json | time=300.0s | left=4775.7s
Run 6 | usa_tv_input.json | time=300.0s | left=4771.8s
Run 6 | us_iptv.json | time=300.0s | left=4754.0s
Run 6 | youtube_gold.json | time=300.0s | left=4645.2s
Run 6 | youtube_premium.json | time=300.0s | left=4344.6s
Run 7 | australia_iptv.json | time=300.0s | left=5100.0s
Run 7 | canada_pw.json | time=300.0s | left=5046.8s
Run 7 | china_pw.json | time=300.0s | left=5008.4s
Run 7 | croatia_tv_input.json | time=300.0s | left=4976.8s
Run 7 | france_iptv.json | time=300.0s | left=4973.6s
Run 7 | germany_tv_input.json | time=300.0s | left=4902.2s
Run 7 | kosovo_tv_input.json | time=300.0s | left=4899.6s
Run 7 | netherlands_tv_input.json | time=300.0s | left=4896.4s
Run 7 | singapore_pw.json | time=300.0s | left=4892.8s
Run 7 | spain_iptv.json | time=300.0s | left=4881.7s
Run 7 | toy.json | time=300.0s | left=4856.6s
Run 7 | uk_iptv.json | time=300.0s | left=4856.0s
Run 7 | uk_tv_input.json | time=300.0s | left=4811.4s
Run 7 | usa_tv_input.json | time=300.0s | left=4807.1s
Run 7 | us_iptv.json | time=300.0s | left=4787.6s
Run 7 | youtube_gold.json | time=300.0s | left=4686.3s
Run 7 | youtube_premium.json | time=300.0s | left=4385.7s
Run 8 | australia_iptv.json | time=300.0s | left=5100.0s
